,Date,Dividends,Adj Close,Total Return Delta,Extremes
32,1980-11-28,0.007116,0.265193,22.636300586365003,Non-Extreme
33,1981-02-11,0.007906,0.261974,1.7673920503180691,Non-Extreme
34,1981-05-13,0.007906,0.282361,10.799926710284232,Non-Extreme
35,1981-08-13,0.007906,0.266163,-2.936666182652692,Non-Extreme
36,1981-11-13,0.007906,0.26282,1.714363003122162,Non-Extreme
37,1982-01-26,0.009092,0.296517,16.280724450194036,Non-Extreme
38,1982-05-13,0.009092,0.313031,8.63559256298965,Non-Extreme
39,1982-07-27,0.009092,0.327599,7.55835684005736,Non-Extreme
40,1982-11-15,0.009092,0.404598,26.279384247204675,Non-Extreme
41,1983-01-26,0.011464,0.402912,2.41671980583195,Non-Extreme
42,1983-05-13,0.011464,0.483299,22.796789373361918,Non-Extreme
43,1983-07-26,0.011464,0.488849,3.520387999975177,Non-Extreme
44,1983-11-14,0.011464,0.480616,0.6609402903555053,Non-Extreme
45,1984-01-26,0.013046,0.42713,-8.414201774389529,Non-Extreme
46,1984-05-14,0.013046,0.393978,-4.707231990260579,Non-Extreme
47,1984-07-26,0.013046,0.386071,1.3043875546350316,Non-Extreme
48,1984-11-13,0.013046,0.473359,25.98848398351598,Non-Extreme
49,1985-01-28,0.014627,0.48861,6.311911255516418,Non-Extreme
50,1985-05-20,0.014627,0.616624,29.19322158776937,Positive Extreme
51,1985-07-26,0.014627,0.621221,3.1176211110822836,Non-Extreme
52,1985-11-15,0.014627,0.625852,3.100023985023025,Non-Extreme
53,1986-01-27,0.016208,0.604324,-0.8500412238037094,Non-Extreme
54,1986-05-14,0.016208,0.760646,28.549255035378383,Positive Extreme
55,1986-07-28,0.016208,0.852336,14.185047972381362,Non-Extreme
56,1986-11-17,0.016208,0.780263,-6.55434007245968,Non-Extreme
57,1987-01-26,0.017789,0.855829,11.964555540888131,Non-Extreme
58,1987-05-14,0.017789,0.879616,4.857979806713731,Non-Extreme
59,1987-07-27,0.017789,0.961193,11.29652029976718,Non-Extreme
60,1987-11-16,0.017789,0.699234,-25.40280672039851,Negative Extreme
61,1988-02-12,0.019766,0.705974,3.7907195588315097,Non-Extreme
62,1988-05-16,0.019766,0.704507,2.5920218025026354,Non-Extreme
63,1988-07-25,0.019766,0.690928,0.8782027715835247,Non-Extreme
64,1988-11-15,0.019766,0.761412,13.062142509783934,Non-Extreme
65,1989-01-23,0.021743,0.786445,6.143323194275889,Non-Extreme
66,1989-05-15,0.021743,0.897469,16.881917998079963,Non-Extreme
67,1989-07-24,0.021743,0.839899,-3.9920041806458,Non-Extreme
68,1989-11-13,0.021743,1.013633,23.273869834349146,Non-Extreme
69,1990-02-05,0.023719,1.004347,1.423888133081711,Non-Extreme
70,1990-05-14,0.023719,0.886215,-9.400436303389174,Non-Extreme
71,1990-08-06,0.023719,1.01173,16.83948026156182,Non-Extreme
72,1990-11-09,0.023719,1.13717,14.742965020311747,Non-Extreme
73,1991-02-22,0.026091,1.524815,36.38295065821294,Positive Extreme
74,1991-05-13,0.026091,1.710718,13.902932486891853,Non-Extreme
75,1991-08-01,0.026091,1.890365,12.026412301735306,Non-Extreme
76,1991-11-08,0.026091,2.10515,12.742301090001144,Non-Extreme
77,1992-02-03,0.029254,2.21918,6.806355841626485,Non-Extreme
78,1992-05-11,0.029254,2.211415,0.9683306446525234,Non-Extreme
79,1992-08-03,0.029254,2.44989,12.10668282524988,Non-Extreme
80,1992-11-16,0.029254,2.376447,-1.8037136361224306,Non-Extreme
81,1993-02-08,0.033207,1.946704,-16.686086413877533,Negative Extreme
82,1993-05-10,0.033207,2.147337,12.012098398112904,Non-Extreme
83,1993-08-02,0.033207,1.897228,-10.100976232421829,Non-Extreme
84,1993-11-05,0.033207,2.021397,8.29504940892713,Non-Extreme
85,1994-02-07,0.03716,1.980593,-0.1802713667824767,Non-Extreme
86,1994-05-09,0.03716,1.927523,-0.8032947708085341,Non-Extreme
87,1994-08-01,0.03716,2.007532,6.078734209656635,Non-Extreme
88,1994-11-04,0.03716,2.394075,21.10566606161198,Non-Extreme
89,1995-02-06,0.041113,2.686244,13.921117759468693,Non-Extreme
90,1995-05-08,0.041113,2.881095,8.784161081420768,Non-Extreme
91,1995-08-02,0.041113,3.376285,18.614554535688693,Non-Extreme
92,1995-11-08,0.041113,4.07932,22.040437936963258,Non-Extreme
93,1996-02-07,0.047438,4.578032,13.388260788562798,Non-Extreme
94,1996-05-08,0.047438,4.429977,-2.1978221209463062,Non-Extreme
95,1996-07-31,0.047438,4.755252,8.413429685978036,Non-Extreme
96,1996-11-06,0.047438,6.043835,28.09569293067959,Positive Extreme
97,1997-02-05,0.053763,6.075069,1.4063421651980976,Non-Extreme
98,1997-05-07,0.053763,6.672016,10.711154062612295,Non-Extreme
99,1997-07-30,0.053763,8.200434,23.713687137440907,Non-Extreme
100,1997-11-05,0.053763,10.216504,25.24052995243912,Non-Extreme
101,1998-02-04,0.060089,11.279673,10.994543730418936,Non-Extreme
102,1998-05-06,0.060089,15.091208,34.32390282945258,Positive Extreme
103,1998-08-05,0.060089,14.727407,-2.012509535353306,Non-Extreme
104,1998-11-04,0.060089,14.770482,0.700489909730882,Non-Extreme
105,1999-02-10,0.069576,17.692959,20.25697604181096,Non-Extreme
106,1999-05-05,0.069576,16.547058,-6.083352140249673,Non-Extreme
107,1999-08-04,0.075901,14.009991,-14.873737675905897,Non-Extreme
