Date,Date,spread_10_2,spread_10_3,Adj Close
2014-10-07,2014-10-07,1.8399999999999999,2.34,14.289178
2014-10-08,2014-10-08,1.8900000000000001,2.3400000000000003,14.343007
2014-10-09,2014-10-09,1.88,2.33,14.181548
2014-10-10,2014-10-10,1.86,2.3000000000000003,13.83844
2014-10-14,2014-10-14,1.8199999999999998,2.19,13.643348
2014-10-15,2014-10-15,1.8099999999999998,2.13,13.091693
2014-10-16,2014-10-16,1.8199999999999998,2.14,13.105144
2014-10-17,2014-10-17,1.83,2.2,13.48189
2014-10-20,2014-10-20,1.83,2.18,13.454974
2014-10-21,2014-10-21,1.85,2.21,13.750984
2014-10-22,2014-10-22,1.84,2.23,13.515526
2014-10-23,2014-10-23,1.8800000000000001,2.2800000000000002,13.730801
2014-10-24,2014-10-24,1.8800000000000001,2.2800000000000002,13.818261
2014-10-27,2014-10-27,1.86,2.25,13.831712
2014-10-28,2014-10-28,1.88,2.28,13.966268
2014-10-29,2014-10-29,1.8599999999999999,2.31,13.912446
2014-10-30,2014-10-30,1.8399999999999999,2.31,14.046994
2014-10-31,2014-10-31,1.85,2.3400000000000003,14.390096
2014-11-03,2014-11-03,1.8399999999999999,2.34,14.282458
2014-11-04,2014-11-04,1.83,2.3200000000000003,14.275734
2014-11-05,2014-11-05,1.8399999999999999,2.33,14.450644
2014-11-06,2014-11-06,1.85,2.3600000000000003,14.242095
2014-11-07,2014-11-07,1.8099999999999998,2.29,14.282458
2014-11-10,2014-11-10,1.8299999999999998,2.36,14.410279
2014-11-12,2014-11-12,1.82,2.35,14.578469
2014-11-13,2014-11-13,1.82,2.33,14.531375
2014-11-14,2014-11-14,1.7799999999999998,2.3,14.625562
2014-11-17,2014-11-17,1.7999999999999998,2.31,14.686104
2014-11-18,2014-11-18,1.7899999999999998,2.3,14.739923
2014-11-19,2014-11-19,1.8199999999999998,2.35,14.753381
2014-11-20,2014-11-20,1.8099999999999998,2.32,14.847567
2014-11-21,2014-11-21,1.78,2.3000000000000003,14.844179
2014-11-24,2014-11-24,1.7699999999999998,2.28,15.013552
2014-11-25,2014-11-25,1.76,2.25,15.210032
2014-11-26,2014-11-26,1.7100000000000002,2.22,15.27101
2014-11-28,2014-11-28,1.7100000000000002,2.16,15.426839
2014-12-01,2014-12-01,1.7300000000000002,2.1900000000000004,15.325209
2014-12-02,2014-12-02,1.7299999999999998,2.25,15.345532
2014-12-03,2014-12-03,1.7200000000000002,2.2800000000000002,15.535233
2014-12-04,2014-12-04,1.7,2.23,15.162607
