Date,Date,spread_10_3,Adj Close
2019-09-18,2019-09-18,-0.1499999999999999,82.083488
2019-09-19,2019-09-19,-0.1399999999999999,82.479988
2019-09-20,2019-09-20,-0.16999999999999993,82.44474
2019-09-23,2019-09-23,-0.21999999999999997,82.568092
2019-09-24,2019-09-24,-0.28,82.465157
2019-09-25,2019-09-25,-0.15999999999999992,82.527275
2019-09-26,2019-09-26,-0.13000000000000012,83.201675
2019-09-27,2019-09-27,-0.1100000000000001,82.695877
2019-09-30,2019-09-30,-0.19999999999999996,83.006462
2019-10-01,2019-10-01,-0.17000000000000015,82.127937
2019-10-02,2019-10-02,-0.18999999999999995,81.808479
2019-10-03,2019-10-03,-0.15999999999999992,82.607147
2019-10-04,2019-10-04,-0.18999999999999995,83.050835
2019-10-07,2019-10-07,-0.18999999999999995,82.820114
2019-10-08,2019-10-08,-0.17999999999999994,82.394165
2019-10-09,2019-10-09,-0.09999999999999987,82.66037
2019-10-10,2019-10-10,-0.010000000000000009,82.820114
2019-10-11,2019-10-11,0.08000000000000007,82.758003
2019-10-15,2019-10-15,0.10000000000000009,82.820114
2019-10-16,2019-10-16,0.09000000000000008,82.882233
2019-10-17,2019-10-17,0.10000000000000009,83.343681
2019-10-18,2019-10-18,0.10000000000000009,84.009216
2019-10-21,2019-10-21,0.13000000000000012,84.621506
2019-10-22,2019-10-22,0.13000000000000012,84.346428
2019-10-23,2019-10-23,0.1200000000000001,84.461784
2019-10-24,2019-10-24,0.10000000000000009,84.355301
2019-10-25,2019-10-25,0.14000000000000012,83.49453
2019-10-28,2019-10-28,0.20000000000000018,83.041946
2019-10-29,2019-10-29,0.2100000000000002,83.325935
2019-10-30,2019-10-30,0.15999999999999992,83.787369
2019-10-31,2019-10-31,0.1499999999999999,83.645386
2019-11-01,2019-11-01,0.20999999999999996,83.583275
2019-11-04,2019-11-04,0.26,82.935478
2019-11-05,2019-11-05,0.30000000000000004,81.586639
2019-11-06,2019-11-06,0.25,81.826248
2019-11-07,2019-11-07,0.3599999999999999,81.045341
2019-11-08,2019-11-08,0.3899999999999999,80.894485
2019-11-12,2019-11-12,0.32999999999999985,80.512901
2019-11-13,2019-11-13,0.30999999999999983,81.169556
2019-11-14,2019-11-14,0.25,81.817352
2019-11-15,2019-11-15,0.27,82.252182
2019-11-18,2019-11-18,0.24,82.678116
2019-11-19,2019-11-19,0.21999999999999997,82.784615
2019-11-20,2019-11-20,0.15999999999999992,82.766869
2019-11-21,2019-11-21,0.18999999999999995,81.631012
2019-11-22,2019-11-22,0.18999999999999995,81.364784
2019-11-25,2019-11-25,0.1499999999999999,81.68425
2019-11-26,2019-11-26,0.1399999999999999,82.66925
2019-11-27,2019-11-27,0.1499999999999999,82.935478
2019-11-29,2019-11-29,0.18999999999999995,82.704765
2019-12-02,2019-12-02,0.22999999999999998,81.480148
2019-12-03,2019-12-03,0.1499999999999999,81.977081
2019-12-04,2019-12-04,0.21999999999999997,82.296562
2019-12-05,2019-12-05,0.26,82.367538
2019-12-06,2019-12-06,0.31000000000000005,82.509537
2019-12-09,2019-12-09,0.29000000000000004,82.678116
2019-12-10,2019-12-10,0.29000000000000004,82.181183
2019-12-11,2019-12-11,0.21999999999999997,81.382538
2019-12-12,2019-12-12,0.33999999999999986,80.31768
2019-12-13,2019-12-13,0.25,80.39753
2019-12-16,2019-12-16,0.31999999999999984,80.913712
2019-12-17,2019-12-17,0.32999999999999985,80.223679
2019-12-18,2019-12-18,0.3599999999999999,81.263222
2019-12-19,2019-12-19,0.34999999999999987,81.935341
2019-12-20,2019-12-20,0.33999999999999986,82.446152
2019-12-23,2019-12-23,0.33999999999999986,81.980156
2019-12-24,2019-12-24,0.31999999999999984,82.20417
2019-12-26,2019-12-26,0.31999999999999984,82.643288
2019-12-27,2019-12-27,0.30999999999999983,82.86734
2019-12-30,2019-12-30,0.32999999999999985,82.930084
2019-12-31,2019-12-31,0.3699999999999999,83.413994
2020-01-02,2020-01-02,0.33999999999999986,82.490959
2020-01-03,2020-01-03,0.28,83.08242
2020-01-06,2020-01-06,0.25,83.154114
2020-01-07,2020-01-07,0.29000000000000004,82.311722
2020-01-08,2020-01-08,0.33000000000000007,82.508873
2020-01-09,2020-01-09,0.31000000000000005,82.553696
2020-01-10,2020-01-10,0.29000000000000004,83.270599
2020-01-13,2020-01-13,0.28,84.157791
2020-01-14,2020-01-14,0.25,83.835197
2020-01-15,2020-01-15,0.21999999999999997,84.578995
2020-01-16,2020-01-16,0.26,85.206306
2020-01-17,2020-01-17,0.28,85.304871
2020-01-21,2020-01-21,0.21999999999999997,86.174164
2020-01-22,2020-01-22,0.21999999999999997,85.681267
2020-01-23,2020-01-23,0.18999999999999995,86.19207
2020-01-24,2020-01-24,0.15999999999999992,85.994926
2020-01-27,2020-01-27,0.06000000000000005,85.58268
2020-01-28,2020-01-28,0.07999999999999985,85.950111
2020-01-29,2020-01-29,0.040000000000000036,85.681267
2020-01-30,2020-01-30,0.0,85.788795
2020-01-31,2020-01-31,-0.040000000000000036,84.749275
2020-02-03,2020-02-03,-0.030000000000000027,85.00914
2020-02-04,2020-02-04,0.040000000000000036,85.87841
2020-02-05,2020-02-05,0.08999999999999986,85.896332
2020-02-06,2020-02-06,0.07999999999999985,86.218956
2020-02-07,2020-02-07,0.030000000000000027,86.183105
2020-02-10,2020-02-10,-0.020000000000000018,87.052376
2020-02-11,2020-02-11,0.020000000000000018,87.760345
2020-02-12,2020-02-12,0.040000000000000036,88.459335
2020-02-13,2020-02-13,0.020000000000000018,89.059753
2020-02-14,2020-02-14,0.010000000000000009,89.866287
2020-02-18,2020-02-18,-0.030000000000000027,89.803558
2020-02-19,2020-02-19,-0.020000000000000018,88.6744
2020-02-20,2020-02-20,-0.06000000000000005,89.633293
2020-02-21,2020-02-21,-0.10000000000000009,89.803558
2020-02-24,2020-02-24,-0.15000000000000013,88.602707
2020-02-25,2020-02-25,-0.19999999999999996,86.227921
2020-02-26,2020-02-26,-0.19999999999999996,85.322807
2020-02-27,2020-02-27,-0.1499999999999999,80.85099
2020-02-28,2020-02-28,-0.14000000000000012,78.323845
2020-03-02,2020-03-02,-0.029999999999999805,82.096649
2020-03-03,2020-03-03,0.07000000000000006,82.105606
2020-03-04,2020-03-04,0.30000000000000004,85.242142
2020-03-05,2020-03-05,0.30000000000000004,83.387131
2020-03-06,2020-03-06,0.29,81.971176
2020-03-09,2020-03-09,0.21000000000000002,75.895256
2020-03-10,2020-03-10,0.32,78.825684
2020-03-11,2020-03-11,0.39999999999999997,74.237381
2020-03-12,2020-03-12,0.55,67.005402
2020-03-13,2020-03-13,0.6599999999999999,72.722862
2020-03-16,2020-03-16,0.49,60.454533
2020-03-17,2020-03-17,0.8300000000000001,63.295338
2020-03-18,2020-03-18,1.16,57.067066
