,date,open,high,low,close,volume,dividend,stock_splits,ticker,fund_name,sector,USRECD_20250829,T10Y3M,spline,lagged_recession_periods,periods,deriv_spline
13190,2018-10-29,149.79,154.27,145.89,151.7,1458200,0.0,0,VHT,Vanguard Health Care Index Fund ETF,Healthcare,0.0,0.74,0.4827582468592917,0.0,,-0.0012398791017972526
13191,2018-10-29,52.97,54.38,51.8,53.49,779000,0.0,0,IXJ,iShares Global Healthcare ETF,Healthcare,0.0,0.74,0.4827582468592917,0.0,,-0.0012398791017972526
13192,2018-10-29,34.22,35.22,33.4,34.68,3564000,0.0,0,IYH,iShares U.S. Healthcare ETF,Healthcare,0.0,0.74,0.4827582468592917,0.0,,-0.0012398791017972526
13193,2018-10-29,81.36,85.59,76.01,83.57,34527400,0.0,0,XBI,SPDR S&P Biotech ETF,Healthcare,0.0,0.74,0.4827582468592917,0.0,,-0.0012398791017972526
13194,2018-10-29,78.43,80.56,76.63,79.16,65538500,0.0,0,XLV,Health Care Select Sector SPDR Fund,Healthcare,0.0,0.74,0.4827582468592917,0.0,,-0.0012398791017972526
13195,2018-10-29,48.84,51.31,47.81,50.46,96400,0.0,0,ZUH.TO,BMO Equal Weight US Health Care Hedged to CAD Index ETF,Healthcare,0.0,0.74,0.4827582468592917,0.0,,-0.0012398791017972526
13196,2018-10-30,,,,,,,,,,,0.0,0.79,0.48152156616329683,0.0,,-0.001233203479643297
13197,2018-10-31,,,,,,,,,,,0.0,0.81,0.4802915700404006,0.0,,-0.0012265114478587215
13198,2018-11-01,,,,,,,,,,,0.0,0.82,0.47906827490206555,0.0,,-0.0012198030064435273
13199,2018-11-02,,,,,,,,,,,0.0,0.89,0.47785169715975406,0.0,,-0.001213078155397712
13200,2018-11-05,49.96,52.42,49.96,51.65,85400,0.0,0,ZUH.TO,BMO Equal Weight US Health Care Hedged to CAD Index ETF,Healthcare,0.0,0.84,0.4766418532249297,0.0,,-0.0012063368947212842
13201,2018-11-05,18.16,18.93,18.13,18.73,2145000,0.0,0,RSPH,Invesco S&P 500 Equal Weight Health Care ETF,Healthcare,0.0,0.84,0.4766418532249297,0.0,,-0.0012063368947212842
13202,2018-11-05,151.96,158.47,151.9,156.9,1224000,0.0,0,VHT,Vanguard Health Care Index Fund ETF,Healthcare,0.0,0.84,0.4766418532249297,0.0,,-0.0012063368947212842
13203,2018-11-05,106.2,109.47,104.7,105.77,7773000,0.0,0,IBB,iShares Biotechnology ETF,Healthcare,0.0,0.84,0.4766418532249297,0.0,,-0.0012063368947212842
13204,2018-11-05,33.94,35.26,33.67,34.81,6159600,0.0,0,IHI,iShares U.S. Medical Devices ETF,Healthcare,0.0,0.84,0.4766418532249297,0.0,,-0.0012063368947212842
13205,2018-11-05,39.58,41.23,39.36,40.82,2470800,0.0,0,FHLC,Fidelity MSCI Health Care Index ETF,Healthcare,0.0,0.84,0.4766418532249297,0.0,,-0.0012063368947212842
13206,2018-11-05,76.02,78.95,75.24,77.49,18388100,0.0,0,FXH,First Trust Health Care AlphaDEX Fund,Healthcare,0.0,0.84,0.4766418532249297,0.0,,-0.0012063368947212842
13207,2018-11-05,83.64,85.47,79.94,80.4,25682100,0.0,0,XBI,SPDR S&P Biotech ETF,Healthcare,0.0,0.84,0.4766418532249297,0.0,,-0.0012063368947212842
13208,2018-11-05,79.27,82.98,79.27,82.43,44906700,0.0,0,XLV,Health Care Select Sector SPDR Fund,Healthcare,0.0,0.84,0.4766418532249297,0.0,,-0.0012063368947212842
13209,2018-11-05,53.75,55.81,53.75,55.47,871200,0.0,0,IXJ,iShares Global Healthcare ETF,Healthcare,0.0,0.84,0.4766418532249297,0.0,,-0.0012063368947212842
13210,2018-11-05,34.76,36.25,34.76,35.93,6060000,0.0,0,IYH,iShares U.S. Healthcare ETF,Healthcare,0.0,0.84,0.4766418532249297,0.0,,-0.0012063368947212842
13211,2018-11-06,,,,,,,,,,,0.0,0.87,0.4754387595090527,0.0,,-0.00119957922441423
13212,2018-11-07,,,,,,,,,,,0.0,0.85,0.47424243242358655,0.0,,-0.0011928051444765565
13213,2018-11-08,,,,,,,,,,,0.0,0.89,0.4730528883799938,0.0,,-0.0011860146549082626
13214,2018-11-09,,,,,,,,,,,0.0,0.83,0.4718701437897372,0.0,,-0.00117920775570935
13215,2018-11-13,,,,,,,,,,,0.0,0.76,0.47069421506427866,0.0,,-0.0011723844468798164
13216,2018-11-14,,,,,,,,,,,0.0,0.74,0.46952511861508206,0.0,,-0.0011655447284196698
13217,2018-11-15,,,,,,,,,,,0.0,0.73,0.4683628708536076,0.0,,-0.0011586886003288979
13218,2018-11-16,,,,,,,,,,,0.0,0.72,0.467207488191319,0.0,,-0.0011518160626075064
13219,2018-11-19,40.39,40.41,38.97,39.31,1130200,0.0,0,FHLC,Fidelity MSCI Health Care Index ETF,Healthcare,0.0,0.68,0.46605898703967846,0.0,,-0.001144927115255494
13220,2018-11-19,74.74,74.74,71.07,72.95,987900,0.0,0,FXH,First Trust Health Care AlphaDEX Fund,Healthcare,0.0,0.68,0.46605898703967846,0.0,,-0.001144927115255494
13221,2018-11-19,50.87,50.87,48.31,49.41,100500,0.0,0,ZUH.TO,BMO Equal Weight US Health Care Hedged to CAD Index ETF,Healthcare,0.0,0.68,0.46605898703967846,0.0,,-0.001144927115255494
13222,2018-11-19,54.8,54.91,53.33,53.67,617100,0.0,0,IXJ,iShares Global Healthcare ETF,Healthcare,0.0,0.68,0.46605898703967846,0.0,,-0.001144927115255494
13223,2018-11-19,35.53,35.56,34.34,34.58,2124500,0.0,0,IYH,iShares U.S. Healthcare ETF,Healthcare,0.0,0.68,0.46605898703967846,0.0,,-0.001144927115255494
13224,2018-11-19,102.78,103.14,99.01,101.33,6775400,0.0,0,IBB,iShares Biotechnology ETF,Healthcare,0.0,0.68,0.46605898703967846,0.0,,-0.001144927115255494
13225,2018-11-19,34.26,34.33,32.5,33.05,3325800,0.0,0,IHI,iShares U.S. Medical Devices ETF,Healthcare,0.0,0.68,0.46605898703967846,0.0,,-0.001144927115255494
13226,2018-11-19,78.78,79.26,74.17,77.73,21950100,0.0,0,XBI,SPDR S&P Biotech ETF,Healthcare,0.0,0.68,0.46605898703967846,0.0,,-0.001144927115255494
13227,2018-11-19,81.71,81.76,78.91,79.5,33709900,0.0,0,XLV,Health Care Select Sector SPDR Fund,Healthcare,0.0,0.68,0.46605898703967846,0.0,,-0.001144927115255494
13228,2018-11-19,18.38,18.38,17.77,17.94,614000,0.0,0,RSPH,Invesco S&P 500 Equal Weight Health Care ETF,Healthcare,0.0,0.68,0.46605898703967846,0.0,,-0.001144927115255494
13229,2018-11-19,155.0,155.48,149.84,151.01,750100,0.0,0,VHT,Vanguard Health Care Index Fund ETF,Healthcare,0.0,0.68,0.46605898703967846,0.0,,-0.001144927115255494
13230,2018-11-20,,,,,,,,,,,0.0,0.67,0.4649173838101486,0.0,,-0.0011380217582728624
13231,2018-11-21,,,,,,,,,,,0.0,0.64,0.4637826949141928,0.0,,-0.0011310999916596177
13232,2018-11-23,,,,,,,,,,,0.0,0.63,0.4626549367632715,0.0,,-0.0011241618154157465
13233,2018-11-26,18.14,18.91,18.07,18.9,1711000,0.0,0,RSPH,Invesco S&P 500 Equal Weight Health Care ETF,Healthcare,0.0,0.65,0.4615341257688483,0.0,,-0.001117207229541256
13234,2018-11-26,152.48,159.92,151.44,159.82,1465600,0.0,0,VHT,Vanguard Health Care Index Fund ETF,Healthcare,0.0,0.65,0.4615341257688483,0.0,,-0.001117207229541256
13235,2018-11-26,54.06,56.4,53.68,56.36,642900,0.0,0,IXJ,iShares Global Healthcare ETF,Healthcare,0.0,0.65,0.4615341257688483,0.0,,-0.001117207229541256
13236,2018-11-26,34.91,36.62,34.66,36.62,6830500,0.0,0,IYH,iShares U.S. Healthcare ETF,Healthcare,0.0,0.65,0.4615341257688483,0.0,,-0.001117207229541256
