date,open,high,low,close,volume,dividend,stock_splits,ticker,fund_name,sector,USRECD_20250829,T10Y3M,spline,lagged_recession_periods,periods
2016-04-04,42.24,43.16,41.87,42.75,4050600,0,0,IXJ,iShares Global Healthcare ETF,Healthcare,0,1.55,1.92397607578011,0,
2016-04-04,25.25,25.87,25.1,25.47,2808500,0,0,IYH,iShares U.S. Healthcare ETF,Healthcare,0,1.55,1.92397607578011,0,
2016-04-05,,,,,,,,,,,0,1.5,1.92179815850031,0,
2016-04-06,,,,,,,,,,,0,1.53,1.91961711264293,0,
2016-04-07,,,,,,,,,,,0,1.47,1.91743295265284,0,
2016-04-08,,,,,,,,,,,0,1.49,1.91524569297491,0,
2016-04-11,42.89,43.44,42.46,43.27,259200,0,0,IXJ,iShares Global Healthcare ETF,Healthcare,0,1.5,1.91305534805401,0,
2016-04-11,25.56,25.86,25.23,25.75,3166500,0,0,IYH,iShares U.S. Healthcare ETF,Healthcare,0,1.5,1.91305534805401,0,
2016-04-11,90.72,92.24,87.89,91.28,26780100,0,0,IBB,iShares Biotechnology ETF,Healthcare,0,1.5,1.91305534805401,0,
2016-04-11,20.08,20.53,19.97,20.47,1768200,0,0,IHI,iShares U.S. Medical Devices ETF,Healthcare,0,1.5,1.91305534805401,0,
2016-04-11,38.37,38.91,37.96,38.71,41600,0,0,ZUH.TO,BMO Equal Weight US Health Care Hedged to CAD Index ETF,Healthcare,0,1.5,1.91305534805401,0,
2016-04-11,13.96,14.17,13.8,14.11,856000,0,0,RSPH,Invesco S&P 500 Equal Weight Health Care ETF,Healthcare,0,1.5,1.91305534805401,0,
2016-04-11,110.08,111.68,108.86,111.25,827100,0,0,VHT,Vanguard Health Care Index Fund ETF,Healthcare,0,1.5,1.91305534805401,0,
2016-04-11,55.6,56.42,52.84,55.96,35122200,0,0,XBI,SPDR S&P Biotech ETF,Healthcare,0,1.5,1.91305534805401,0,
2016-04-11,59.15,59.99,58.6,59.75,46512700,0,0,XLV,Health Care Select Sector SPDR Fund,Healthcare,0,1.5,1.91305534805401,0,
2016-04-11,28.66,29.07,28.33,28.97,423200,0,0,FHLC,Fidelity MSCI Health Care Index ETF,Healthcare,0,1.5,1.91305534805401,0,
2016-04-11,56.1,57,55.55,56.88,1060300,0,0,FXH,First Trust Health Care AlphaDEX Fund,Healthcare,0,1.5,1.91305534805401,0,
2016-04-12,,,,,,,,,,,0,1.57,1.910861932335,0,
2016-04-13,,,,,,,,,,,0,1.54,1.90866546026275,0,
2016-04-14,,,,,,,,,,,0,1.58,1.90646594628214,0,
2016-04-15,,,,,,,,,,,0,1.54,1.90426340483803,0,
